,Text,Author
4222,colors.,SC
2297,"his eyes fixed on the door. Any second now, Professor McGonagall would come back and lead",JR
3948,"For a moment, everything seems frozen in time. Then the apples spill to the ground and I’m",SC
4246,Perhaps we’ll even get to sleep.,SC
4114,fall open.,JR
4893,"It was a bit late to repair the damage, but Harry swore to himself not to meddle in things that",JR
4367,"As Neville walked away, Harry looked at the Famous Wizard card.",JR
3981,happens twice more. I’m reminded of those last few kernels that burst when Prim and I pop,SC
5745,"“Well—I was lucky once, wasn’t I?” said Harry, pointing at his scar. “I might get lucky again.”",JR
1660,see.” He pulled a long tape measure with silver markings out of his pocket. “Which is your,JR
4225,A sudden noise outside in the corridor put an end to their discussion. They hadn’t realized,JR
844,knew hope wasn’t lost. I plucked it carefully and hurried home. I grabbed a bucket and Prim’s,SC
4497,which was a happy blur: Gryffindors running to lift him onto their shoulders; Ron and,JR
6664,sure there are no cameras hidden in the scrubby bushes along the track. Still no words come.,SC
375,"Perhaps it had something to do with living in a dark cupboard, but Harry had always been",JR
1210,"heat, but there is only a faint tickling sensation. Cinna climbs up before us and ignites our",SC
4349,"Neville’s legs sprang apart and he got to his feet, trembling. “What happened?” Hermione",JR
1394,"the students, scared of his own subject now, where’s me umbrella?”",JR
2405,"“Whatever,” says Peeta. “But I bet he’s smart enough to know a bluff when he sees it. Besides",SC
510,"enough ice cream on top, Uncle Vernon bought him another one and Harry was allowed to",JR
4122,He came to a sudden halt in front of a tall suit of armor. He had been so busy getting away,JR
2273,"shortly, but before you take your seats in the Great Hall, you will be sorted into your houses.",JR
4068,stream.,SC
5950,“You got there? You got Hermione’s owl?”,JR
6514,"indifferent to him earlier, I make up for it now, by finding him, nursing him back to health,",SC
5081,"“Liar,” she says with a grin. “He’s nearly dead. Cato knows where he cut him. You’ve probably",SC
6199,The frantic voice of Claudius Templesmith shouts above them. “Stop! Stop! Ladies and,SC
6002,killed . . . do they believe they’re avenging their own deaths?,SC
2277,"“Now, Katniss,” he says confidentially, “When you came out in the opening ceremonies, my",SC
3301,from.,SC
3975,"crawl? I move forward tentatively. Yes, if I go very slowly, I can crawl. Most of the woods will",SC
5048,"“Good evening to you, Hagrid,” said Ronan. He had a deep, sorrowful voice. “Were you going",JR
3574,"so, Rue presses a gloppy green wad of chewed leaves and spit on my knee.",SC
325,lot of the boys. And maybe he’s thinking the same thing about me because his face darkens,SC
224,blouse tucked in at the back.,SC
575,"remember, ever since he’d been a baby and his parents had died in that car crash. He couldn’t",JR
5558,"everything we eat is stale,” says Peeta, pulling the sleeping bag up around him. In less than a",SC
659,Little Whinging,JR
6001,because we have survived and they were so callously murdered? And the ones we actually,SC
6484,have a strong impulse to run. How have the other victors faced this alone? During the,SC
2294,But the nerves and the spinning have gotten to me.,SC
3252,"As the owls flooded into the Great Hall as usual, everyone’s attention was caught at once by a",JR
2126,"have ended up an Avox, too. Probably would have. An Avox or dead.",SC
240,blouse has pulled out of her skirt in the back again and force myself to stay calm. “Tuck your,SC
817,"“Let’s get you back to your room,” says Peeta. “Clean you up a bit.”",SC
50,that this was probably some silly stunt—these people were obviously collecting for,JR
6120,word he’s trying to say is please.,SC
5266,“Should we try and ration it?” Peeta asks.,SC
4267,"Soon the seal’s in the sky, the anthem plays in my right ear. I see the boy from District 1, Rue.",SC
3703,"very back of my mind, is the obvious. Both of us can’t win these Games. But since the odds are",SC
1068,"green, rub me down with a lotion that first stings but then soothes my raw skin. Then they",SC
5186,“The Sorcerer’s Stone! Of course—the Elixir of Life! But I don’t understand who—”,JR
5029,"“You all right, Hermione?” Hagrid whispered. “Don’ worry, it can’t’ve gone far if it’s this badly",JR
4037,"“Why aren’t you wearing yours, Ron?” George demanded. “Come on, get it on, they’re lovely",JR
201,set him off. The chance of her name being drawn is very slim compared to those of us who live,SC
3696,isn’t motivated by the need for flight and evasion. An offensive plan. “I think we’re going to,SC
5061,"Ronan didn’t answer immediately. He stared unblinkingly upward, then sighed again.",JR
3007,"“Ever seen a game of Quidditch, Potter?” he asked excitedly.",JR
912,plates? Did they watch the recap of the day’s events on the battered old TV that sits on the,SC
313,Dumbledore’s eyes seemed to have gone out.,JR
396,"Harry put the plates of egg and bacon on the table, which was difficult as there wasn’t much",JR
5940,"Cato has made a beeline for the Cornucopia, and without question I follow him. If he thinks",SC
2545,glues me to the ladder while I'm lifted safely inside.,SC
5797,"We toss a bunch more wood on the fire. It should be sending off smoke for a few more hours,",SC
4141,"the walls, and there was an upturned wastepaper basket—but propped against the wall facing",JR
4775,"the day before Prim’s tenth birthday in late May. As soon as school ended, Gale and I hit the",SC
2315,"is frozen, hanging on my every word.",SC
770,Uncle Vernon didnt go to work that day. He stayed at home and nailed up the mail slot.,JR
1331,Hagrid was so huge that he parted the crowd easily; all Harry had to do was keep close,JR
3010,"him. “Light—speedy—we’ll have to get him a decent broom, Professor—a Nimbus Two",JR
2661,Granger had made any difference to her match; Professor McGonagall showed the class how,JR
2939,"against the ground and up, up he soared; air rushed through his hair, and his robes whipped",JR
368,"them, and that was where he slept.",JR
549,I knew how we were going to survive.,SC
166,"price. The mayor’s daughter, Madge, opens the door. She’s in my year at school. Being the",SC
2525,our older students would do well to remember that as well.”,JR
323,this one at least has a slight entertainment factor. But suddenly I am thinking of Gale and his,SC
5616,nearly fell off his broom.,JR
2614,only of a strong wind with the hopeful smell of pine trees.,SC
3020,“You’re joking.”,JR
2932,plastic for later. The meat stops the grumbling in my stomach but does little to quench my,SC
2907,"the willow branches, it has probably been difficult for the cameras to get a good shot of me. I",SC
3152,"“RUN!” Harry yelled, and the four of them sprinted down the gallery, not looking back to see",JR
6112,was already full. It was decked out in the Slytherin colors of green and silver to celebrate,JR
1593,"“Yes, and I’m sure the arena will be full of bags of flour for me to chuck at people. It’s not like",SC
1833,begin to sob.,SC
4778,"“I won’t let you in,” he puffed. “Norbert’s at a tricky stage—nothin’ I can’t handle.”",JR
5262,"Hermione always liked to go through their exam papers afterward, but Ron said this made",JR
464,"Once, Aunt Petunia, tired of Harry coming back from the barbers looking as though he hadn’t",JR
5973,"“Sir?” said Harry. “I’ve been thinking… sir—even if the Stone’s gone, Vol—, I mean, You-Know-",JR
2097,"“Well, you better learn fast. You’ve got about as much charm as a dead slug,” says Haymitch.",SC
4973,"I watch the sky, hoping for one less opponent at dawn, but nobody appears tonight. Tomorrow",SC
5610,"plate clean with his tongue making loud, satisfied sounds. Then he blows a kiss out to her in",SC
3359,"up against the trunk of the tree, I’d guess Glimmer was supposed to be on guard, but fatigue",SC
56,gazed open-mouthed as owl after owl sped overhead. Most of them had never seen an owl,JR
6029,"guaranteeing an arrow in his brain. We stand like statues, both of us seeking an out.",SC
1538,Haymitch didn’t give us an exact time to meet for breakfast and no one has contacted me this,SC
566,"Of course, the odds have not been very dependable of late.",SC
267,"Anyway, Gale and I agree that if we have to choose between dying of hunger and a bullet in",SC
878,"lighted dial of Dudley’s watch, which was dangling over the edge of the sofa on his fat wrist,",JR
5201,"“Good luck, Harry Potter,” said Firenze. “The planets have been read wrongly before now,",JR
1645,"strengths, insisting the other take credit for their abilities. Because, in fact, at some point,",SC
393,"Then something unexpected happens. At least, I don’t expect it because I don’t think of",SC
2569,"cross-legged in the air, clutching the walking sticks.",JR
766,shouted at Harry for about half an hour and then told him to go and make a cup of tea. Harry,JR
3626,know about one another.,SC
4362,he might cry.,JR
4643,Romance.,SC
1752,"“All right, I’ll keep smiling pleasantly and you talk,” says Peeta. It’s wearing us both out,",SC
5626,"flight again, looking very battered now that it had been caught twice.",JR
2685,"pack yet. I just keep moving, pausing only to check for pursuers.",SC
868,"here in a storm to deliver mail. Harry privately agreed, though the thought didn’t cheer him",JR
2847,countryside on his broomstick. Even Ron would tell anyone who’d listen about the time he’d,JR
4156,"that it reflected them, invisible or not?",JR
790,but happy.,JR
5846,“Use the boy… Use the boy…”,JR
5331,or simply unconscious. Our lips neither burning with fever or icy cold. This is the first kiss,SC
6706,"I take his hand, holding on tightly, preparing for the cameras, and dreading the moment when",SC
5618,"Once we’re packed up and standing outside our cave, our mood shifts to serious. It’s as",SC
1405,The sun shone brightly on a stack of cauldrons outside the nearest shop. Cauldrons—All Sizes,JR
76,was no point in worrying Mrs. Dursley; she always got so upset at any mention of her sister.,JR
2184,"“Oh, you’re going to fight us, are you?” Malfoy sneered.",JR
3644,"through the night, they’ll pass out a few pairs to those of us highest in the trees. Where the",SC
1362,"When I look back, the four adults are watching me like hawks.",SC
4244,"“I’m serious, Harry, don’t go.”",JR
3909,Why did she squeal so as her hands made contact with the earth? You’d have thought . . . and,SC
1096,"No one ever lived after he decided ter kill ‘em, no one except you, an’ he’d killed some o’ the",JR
234,"“And nothing like myself,” I say. I hug her, because I know these next few hours will be",SC
2296,report home to the Dursleys saying that he’d somehow turned his teacher’s wig blue. He kept,JR
1127,could make do with a wild turkey. I’d need to shoot a second turkey to trade for an orange.,SC
3090,"I know I need to keep moving, but I’m trembling and light-headed now, gasping for air. I allow",SC
5897,"Given our late start to the day, when we reach the plain it’s already early evening. There’s no",SC
898,SMASH!,JR
962,“All what?” asked Harry.,JR
3007,"Maybe he’s sending you a message, it says. A message. Saying what? Then I know. There’s",SC
4635,I step out in the cool evening air just as the parachute floats down from the sky. My fingers,SC
5435,"“Maybe not that long,” says Peeta. “What was that you were saying just before the food",SC
3552,Students are finishing the feast in their houses.”,JR
1973,him.,JR
244,"let’s eat,” I say and plant a quick kiss on the top of her head.",SC
882,"fall in, although he might be warmer if it did. Four minutes to go. Maybe the house in Privet",JR
5058,comes whizzing in on my right side so I can hear it and I’m able to deflect it with my bow. I,SC
1120,"Harry, meanwhile, still had questions to ask, hundreds of them.",JR
1430,A pair of goblins bowed them through the silver doors and they were in a vast marble hall.,JR
3996,"too well. This idea must occur to Cato, too, because he turns on the boy and appears to be",SC
2508,“I don’t know how to say it exactly. Only . . . I want to die as myself. Does that make any,SC
2730,"“Tut, tut—fame clearly isn’t everything.”",JR
5995,"day… put it from your mind for now, Harry. When you are older… I know you hate to hear",JR
283,"“Hagrid,” said Dumbledore, sounding relieved. “At last. And where did you get that",JR
2010,"speeding past fields full of cows and sheep. They were quiet for a time, watching the fields",JR
5733,Foxface’s emaciated body is lifted into the air. I can see the red glint of her hair in the,SC
2649,"books to see over his desk. At the start of their first class he took the roll call, and when he",JR
3838,expanse where the Games began.,SC
5384,"put on a high voice, “‘Oh Professor Flitwick, I’m so worried, I think I got question fourteen",JR
6379,"finished. And beneath his benign reply, I sense a warning. Of something he can’t even mention",SC
4535,"black eye, and Neville tried to take on Crabbe and Goyle single handed! He’s still out cold but",JR
4914,"on about how delicious it is, which should be encouraging if you don’t know what fever does",SC
4881,"behind. “No,” he says. “You’re not risking your life for me.”",SC
3781,"“Dunno what Harry thinks he’s doing,” Hagrid mumbled. He stared through his binoculars. “If",JR
2775,him so much?,JR
4887,Only Ron stood by him.,JR
6036,"He smiled and popped the golden brown bean into his mouth. Then he choked and said, “Alas!",JR
1371,"A pale young man made his way forward, very nervously. One of his eyes was twitching.",JR
1029,people with bizarre hair and painted faces who have never missed a meal. All the colors seem,SC
5579,there with me. No more fear of hunger. A new kind of freedom. But then . . . what? What,SC
431,"though he was something very nasty that couldn’t understand them, like a slug.",JR
3242,wondering what could possibly need such heavy protection.,JR
4632,hot his lips are from the fever. I break away and pull the edge of the sleeping bag up around,SC
1030,"artificial, the pinks too deep, the greens too bright, the yellows painful to the eyes, like the",SC
3757,"“Not much that I could see. A spear. He might be able to hold a few of us off with that, but",SC
5285,"Every time I look at that field, all I can think of are hidden things. Snakes, and rabid animals,",SC
4927,"place a drop on the tip of my tongue. There’s no question, it’s sleep syrup. It’s a common",SC
2226,"over the heads of the students, and Harry heard a familiar voice: “Firs’ years! Firs’ years over",JR
2318,"sandy hair, with Ron behind him, and they walked out of the chamber, back across the hall,",JR
5064,"“Mars is bright tonight,” Ronan repeated, while Hagrid watched him impatiently. “Unusually",JR
4970,scavenge. But the other three . . . I’m going to have my hands full. My ability to kill at a,SC
1723,Hagrid leaned across the table. Behind the wild beard and eyebrows he wore a very kind,JR
1532,"bristled brush. Oh, well. At least my blood is flowing.",SC
6321,"It’s a relief to be alone with Cinna, to feel his protective arm around my shoulders as he",SC
1186,He took off his thick black coat and threw it to Harry.,JR
2167,"“Myself? That’s no good, either. Haymitch says I’m sullen and hostile,” I say.",SC
4020,seen before were the following words:,JR
4562,"“Hermione, the exams are ages away.”",JR
6022,Snape couldn’t bear being in your father’s debt… I do believe he worked so hard to protect,JR
6177,"found lurking in a corner of the toilets; notes were handed out to all students, warning them",JR
513,"and I thought, It’s her. She’s coming to drive me away with a stick. But it wasn’t her. It was",SC
903,ever the same between us again.,SC
13,let him stay. It turned out okay. My mother got rid of the vermin and he’s a born mouser. Even,SC
3994,"remains by kicking open various containers. The other tributes are poking around in the mess,",SC
2277,"“The four houses are called Gryffindor, Hufflepuff, Ravenclaw, and Slytherin. Each house has",JR
5441,"I make room for him in the sleeping bag. We lean back against the cave wall, my head on his",SC
2088,"longer the interview goes on, the more my fury seems to rise to the surface, until I’m literally",SC
538,"“I know,” Harry murmured through the glass, though he wasn’t sure the snake could hear",JR
1594,"Hagrid wouldn’t let Harry buy a solid gold cauldron, either (“It says pewter on yer list”), but",JR
5549,"into sleep, comforted by a full belly and the steady warmth of Peeta beside me.",SC
6383,"stylist, the mentor, and finally the victor. Only this year, with two victors who share both an",SC
3499,"Because by the time we met up, I couldn’t tell what was real and what the tracker jacker",SC
3526,let alone its appearance.,SC
6157,from his belt —,SC
4599,"Species of Great Britain and Ireland; From Egg to Inferno, A Dragon Keeper’s Guide.”",JR
2864,which he opened gloatingly at the Slytherin table.,JR
108,"while I strip the bushes of their berries. We settle back in a nook in the rocks. From this place,",SC
2898,bow and arrow. Which Peeta knows better than anyone.,SC
502,"I carefully replaced the lid and backed away, I noticed him, a boy with blond hair peering out",SC
752,cupboard and they seemed to know he hadn’t received his first letter. Surely that meant,JR
1788,"He was quite right, of course. There was a big plastic number nine over one platform and a",JR
1389,"“Just the perfect touch of rebellion,” says Haymitch. “Very nice.”",SC
3656,"“Just a bit of toast,” wheedled Hermione.",JR
2452,Haymitch crosses his arms and looks us both over.,SC
1985,"around a lot, but they still get really good marks and everyone thinks they’re really funny.",JR
1671,practice with a partner.,SC
4152,"room was empty. Breathing very fast, he turned slowly back to the mirror.",JR
3655,“I don’t want anything.”,JR
1816,"“Mom, can’t I go…”",JR
5909,"plain, I can see the mockingjays flitting about. Bouncing melodies back and forth between",SC
5020,"irreparable. Never mind. If I get home, I’ll be so stinking rich, I’ll be able to pay someone to",SC
5601,"“I wouldn’t call it wasting,” he says giving a big stretch as he sits up. “So do we hunt on",SC
3478,"hole, not filled with the humming orange bubbles of my hallucination but with old, dead",SC
2672,"on my shoulders now, I make for the trees. Somehow I know the girl will not pursue me. That",SC
3279,"“Yes, yes, that’s right,” said Professor Flitwick, beaming at Harry. “Professor McGonagall told",JR
5693,"myself twenty, maybe thirty yards of hunting space. Away from him though, the woods come",SC
1134,"What must it be like, I wonder, to live in a world where food appears at the press of a button?",SC
5248,"weakness instead of a terminal one. “I want to go home, Peeta,” I say plaintively, like a small",SC
3314,"natural. I’m just going to teach you the rules this evening, then you’ll be joining team practice",JR
5203,"He turned and cantered back into the depths of the forest, leaving Harry shivering behind",JR
2598,in an hour. Not even. My fingers obsessively trace the hard little lump on my forearm where,SC
45,more people would risk it if they had weapons. But most are not bold enough to venture out,SC
6182,"Yes, they have to have a victor. Without a victor, the whole thing would blow up in the",SC
2183,"“Say that again,” Ron said, his face as red as his hair.",JR
5580,would my life be like on a daily basis? Most of it has been consumed with the acquisition of,SC
539,him. “It must be really annoying.”,JR
1028,"“He’s not going,” he said.",JR
400,Mommy and Daddy.”,JR
2574,"helps me dress in the undergarments, simple tawny pants, light green blouse, sturdy brown",SC
2212,stylists commanding the front row. The cameras will turn to them when the crowd is reacting,SC
3218,"splashing across the pool, flying into the underbrush. My leg slows me down, but I sense my",SC
1327,me to dinner.,SC
5348,"“Look,” said Harry, throwing caution to the winds, “Professor—it’s about the Sorcerer’s stone",JR
2170,"well, they can’t stop talking about you. No one can help but admire your spirit.”",SC
2511,“What is it?” asked Percy.,JR
3225,"“No, notthe floor. It was standing on a trapdoor. It’s obviously guarding something.”",JR
2654,“Transfiguration is some of the most complex and dangerous magic you will learn at,JR
354,allowing me a straight path to the stage. I reach her just as she is about to mount the steps.,SC
813,"thing, once we’re in the arena he’s all we’ve got. As if by some unspoken agreement, Peeta",SC
656,Mr. H. Potter,JR
3986,really do tear out their hair and beat the ground with their fists — if I didn’t know that it was,SC
443,"cried—but he knew that if he screwed up his face and wailed, his mother would give him",JR
4144,"Careers may be poised to attack me, but I can’t help myself. There’s another high-pitched cry,",SC
5265,dried fruit.,SC
5261,broth pot under the worst one and repositioned the plastic to deflect most of it from me. I feel,SC
5815,"Harry struggled against the ropes binding him, but they didn’t give. He hadto keep Quirrell",JR
597,"had already broken his new video camera, crashed his remote control airplane, and, first time",JR
1121,"“But what happened to Vol—, sorry—I mean, You-Know-Who?”",JR
774,"Sae’s concoction of mice meat, pig entrails, and tree bark — a winter specialty — I’m",SC
6588,"we know, from our days in the cave, that it was love at first sight for you from what, age five?”",SC
5890,same end as your parents… They died begging me for mercy…”,JR
986,"gave him; when Hagrid spoke, his every syllable trembled with rage.",JR
3398,"is pointless. She calls to the others for help but, of course, no one returns. The girl from",SC
1489,pulled him back by the scruff of his neck.,JR
4694,"snapped at his fingers, showing pointed fangs.",JR
1117,robe and we’ll have a chat.”,SC
2777,"watching full coverage of each and every killing, but that’s thought to give an unfair",SC
5243,"taken away if it had whiskers. Snape made them all nervous, breathing down their necks",JR
2953,streaked back toward the ground.,JR
5435,"“We’d better put the cloak on here, and make sure it covers all three of us—if Filch spots one",JR
4752,"tributes, how they’re managing now that their main source of food has been blown up. At",SC
10,"though it was years ago, I think he still remembers how I tried to drown him in a bucket when",SC
3345,"magical, erasing the pain on contact, leaving a pleasant cooling sensation behind. This is no",SC
1622,"place, empty except for a single, spindly chair that Hagrid sat on to wait. Harry felt strangely",JR
2612,"seconds, I’m in darkness and then I can feel the metal plate pushing me out of the cylinder,",SC
4751,big enough to cover two of us and Norbert.”,JR
1704,Harry shivered. He wasn’t sure he liked Mr. Ollivander too much. He paid seven gold Galleons,JR
2734,snow to melt if it should come to it.,SC
3336,"He showed Harry two identical balls, jet black and slightly smaller than the red Quaffle. Harry",JR
